Municipal,ID,Time,Change in Storage (mm),Runoff (mm),Soil Moisture (mm),Precipitation (mm),Evapotranspiration (mm)
Luna,1408105000,03/15/2021,-64,10,668,55,109
Luna,1408105000,04/15/2021,-65,3,601,42,104
Luna,1408105000,05/15/2021,-100,0,526,23,123
Luna,1408105000,06/15/2021,7,1,485,131,123
Luna,1408105000,07/15/2021,26,1,468,152,125
Luna,1408105000,08/15/2021,66,2,565,207,139
Luna,1408105000,09/15/2021,54,7,631,179,118
Luna,1408105000,10/15/2021,80,154,744,336,102
Luna,1408105000,11/15/2021,72,41,719,196,83
Luna,1408105000,12/15/2021,-48,66,740,85,67
Luna,1408105000,01/15/2022,-5,47,723,125,83
Luna,1408105000,02/15/2022,-41,15,695,53,79
Luna,1408105000,03/15/2022,-90,5,634,25,110
Luna,1408105000,04/15/2022,-49,1,581,46,94
Luna,1408105000,05/15/2022,133,5,597,269,131
Luna,1408105000,06/15/2022,-55,4,646,94,145
Luna,1408105000,07/15/2022,-41,2,623,118,157
Luna,1408105000,08/15/2022,127,20,690,288,141
Luna,1408105000,09/15/2022,-17,69,728,169,117
Luna,1408105000,10/15/2022,115,405,780,623,103
Luna,1408105000,11/15/2022,-65,125,760,158,98
Luna,1408105000,12/15/2022,26,111,766,207,70
Luna,1408105000,01/15/2023,-95,79,740,65,81
Luna,1408105000,02/15/2023,-6,12,679,87,81
Luna,1408105000,03/15/2023,-105,6,643,10,109
Luna,1408105000,04/15/2023,-55,1,561,39,93
Luna,1408105000,05/15/2023,26,2,508,140,112
Luna,1408105000,06/15/2023,36,5,556,173,132
Luna,1408105000,07/15/2023,193,117,652,461,151
Luna,1408105000,08/15/2023,43,263,737,450,144
Luna,1408105000,09/15/2023,-113,169,768,178,122
Luna,1408105000,10/15/2023,6,93,749,209,110
Luna,1408105000,11/15/2023,35,77,740,184,72
Luna,1408105000,12/15/2023,-15,77,743,140,78
Luna,1408105000,01/15/2024,-86,25,699,14,75
Luna,1408105000,03/15/2024,-63,1,531,23,85
Luna,1408105000,04/15/2024,-71,0,464,14,85
Luna,1408105000,05/15/2024,52,1,436,158,105
Luna,1408105000,06/15/2024,-27,1,486,101,127
Luna,1408105000,07/15/2024,206,26,502,380,148
Luna,1408105000,08/15/2024,-41,3,639,125,163
Luna,1408105000,09/15/2024,248,241,753,627,138
Luna,1408105000,10/15/2024,-45,253,778,341,133
Luna,1408105000,11/15/2024,-69,406,798,446,109
Luna,1408105000,12/15/2024,9,103,756,198,86
Pudtol,1408106000,01/15/2016,-18,67,737,148,99
Pudtol,1408106000,02/15/2016,46,117,760,252,89
Pudtol,1408106000,03/15/2016,-58,105,755,179,132
Pudtol,1408106000,04/15/2016,-73,19,684,107,161
Pudtol,1408106000,05/15/2016,119,76,707,372,177
Pudtol,1408106000,06/15/2016,-88,134,759,226,180
Pudtol,1408106000,07/15/2016,100,88,680,356,168
Pudtol,1408106000,08/15/2016,-6,105,763,238,139
Pudtol,1408106000,09/15/2016,-44,105,759,186,125
Pudtol,1408106000,10/15/2016,-1,378,778,489,112
Pudtol,1408106000,11/15/2016,50,94,749,224,80
Pudtol,1408106000,12/15/2016,37,394,801,496,65
Pudtol,1408106000,01/15/2017,-4,205,775,278,77
Pudtol,1408106000,02/15/2017,-50,231,784,258,77
Pudtol,1408106000,03/15/2017,-66,50,723,111,127
Pudtol,1408106000,04/15/2017,10,25,707,189,154
Pudtol,1408106000,05/15/2017,93,131,741,382,158
Pudtol,1408106000,06/15/2017,-88,85,747,173,176
Pudtol,1408106000,07/15/2017,-21,27,713,159,153
Pudtol,1408106000,08/15/2017,39,31,718,221,151
Pudtol,1408106000,09/15/2017,-62,28,716,101,135
Pudtol,1408106000,10/15/2017,103,95,728,295,97
Pudtol,1408106000,11/15/2017,-41,188,765,230,83
Pudtol,1408106000,12/15/2017,57,385,793,503,61
Pudtol,1408106000,01/15/2018,-49,178,773,213,84
Pudtol,1408106000,02/15/2018,-5,101,763,183,87
Pudtol,1408106000,03/15/2018,-54,39,725,114,129
Pudtol,1408106000,04/15/2018,8,20,703,180,152
Pudtol,1408106000,05/15/2018,-82,12,673,106,176
Pudtol,1408106000,06/15/2018,16,6,620,171,149
Pudtol,1408106000,07/15/2018,68,16,661,246,162
Pudtol,1408106000,08/15/2018,64,79,744,276,133
Pudtol,1408106000,09/15/2018,-48,261,759,361,148
Pudtol,1408106000,10/15/2018,84,61,691,267,122
Pudtol,1408106000,11/15/2018,-113,58,720,41,96
Pudtol,1408106000,12/15/2018,174,76,710,323,73
Pudtol,1408106000,01/15/2019,-114,164,761,142,92
Pudtol,1408106000,02/15/2019,-130,19,680,5,116
Pudtol,1408106000,03/15/2019,-42,2,592,93,133
Pudtol,1408106000,04/15/2019,109,16,656,281,156
Pudtol,1408106000,05/15/2019,102,159,763,432,171
Pudtol,1408106000,06/15/2019,21,157,747,347,169
Pudtol,1408106000,07/15/2019,-9,342,798,502,169
Pudtol,1408106000,08/15/2019,20,129,759,296,147
Pudtol,1408106000,09/15/2019,-38,324,799,406,120
Pudtol,1408106000,10/15/2019,40,223,791,378,115
Pudtol,1408106000,11/15/2019,-10,682,828,745,73
Pudtol,1408106000,12/15/2019,-9,682,810,743,70
Pudtol,1408106000,01/15/2020,-44,161,776,202,85
Pudtol,1408106000,02/15/2020,-22,107,763,175,90
Pudtol,1408106000,03/15/2020,-112,1,580,4,115
Pudtol,1408106000,04/15/2020,-44,0,492,51,95
Pudtol,1408106000,05/15/2020,45,2,479,172,125
Pudtol,1408106000,06/15/2020,-92,0,477,34,126
Pudtol,1408106000,07/15/2020,24,1,414,151,126
Pudtol,1408106000,08/15/2020,53,1,492,183,129
Pudtol,1408106000,09/15/2020,-31,0,480,79,110
Pudtol,1408106000,10/15/2020,272,12,564,368,84
Pudtol,1408106000,11/15/2020,-17,365,789,419,71
Pudtol,1408106000,12/15/2020,48,193,776,314,73
Pudtol,1408106000,01/15/2021,-21,94,749,121,48
Pudtol,1408106000,02/15/2021,-53,42,730,65,76
Pudtol,1408106000,03/15/2021,-68,9,670,55,114
Pudtol,1408106000,04/15/2021,-73,2,595,42,113
Pudtol,1408106000,05/15/2021,-113,0,511,23,136
Pudtol,1408106000,06/15/2021,-3,1,457,131,133
Pudtol,1408106000,07/15/2021,26,1,436,152,125
Pudtol,1408106000,08/15/2021,67,2,534,207,138
Pudtol,1408106000,09/15/2021,46,4,597,179,129
Pudtol,1408106000,10/15/2021,120,117,730,336,99
Pudtol,1408106000,11/15/2021,76,43,718,202,83
Pudtol,1408106000,12/15/2021,-46,76,747,85,55
Pudtol,1408106000,01/15/2022,-5,52,729,126,79
Pudtol,1408106000,02/15/2022,-41,17,700,50,74
Pudtol,1408106000,03/15/2022,-100,4,636,23,119
Pudtol,1408106000,04/15/2022,-53,0,574,46,99
Pudtol,1408106000,05/15/2022,132,4,587,269,133
Pudtol,1408106000,06/15/2022,-57,2,634,94,149
Pudtol,1408106000,07/15/2022,-36,2,612,118,152
Pudtol,1408106000,08/15/2022,136,19,688,288,133
Pudtol,1408106000,09/15/2022,-21,64,727,169,126
Pudtol,1408106000,10/15/2022,123,402,781,623,98
Pudtol,1408106000,11/15/2022,-77,127,760,148,98
Pudtol,1408106000,12/15/2022,36,109,765,206,61
Pudtol,1408106000,01/15/2023,-91,85,742,65,71
Pudtol,1408106000,02/15/2023,-9,14,685,87,82
Pudtol,1408106000,03/15/2023,-113,5,643,10,118
Pudtol,1408106000,04/15/2023,-65,0,550,39,104
Pudtol,1408106000,05/15/2023,19,2,488,140,119
Pudtol,1408106000,06/15/2023,30,6,530,173,137
Pudtol,1408106000,07/15/2023,220,94,629,461,147
Pudtol,1408106000,08/15/2023,44,264,738,450,142
Pudtol,1408106000,09/15/2023,-116,165,767,178,129
Pudtol,1408106000,10/15/2023,8,87,747,208,113
Pudtol,1408106000,11/15/2023,35,75,741,180,70
Pudtol,1408106000,12/15/2023,-13,79,746,138,72
Pudtol,1408106000,01/15/2024,-80,28,704,14,66
Pudtol,1408106000,03/15/2024,-77,0,523,23,100
Pudtol,1408106000,04/15/2024,-88,0,440,14,102
Pudtol,1408106000,05/15/2024,46,1,400,158,111
Pudtol,1408106000,06/15/2024,-30,1,450,101,130
Pudtol,1408106000,07/15/2024,215,23,466,380,142
Pudtol,1408106000,08/15/2024,-34,2,615,125,157
Pudtol,1408106000,09/15/2024,269,219,742,627,139
Pudtol,1408106000,10/15/2024,-44,252,778,341,133
Pudtol,1408106000,11/15/2024,-69,411,801,446,104
Pudtol,1408106000,12/15/2024,13,111,761,198,74
Santa Marcela,1408107000,01/15/2016,-43,57,729,119,105
Santa Marcela,1408107000,02/15/2016,59,85,751,235,91
Santa Marcela,1408107000,03/15/2016,-95,73,733,100,122
Santa Marcela,1408107000,04/15/2016,-115,6,631,19,128
Santa Marcela,1408107000,05/15/2016,1,3,569,148,144
Santa Marcela,1408107000,06/15/2016,-56,2,570,92,146
Santa Marcela,1408107000,07/15/2016,70,30,491,230,130
Santa Marcela,1408107000,08/15/2016,35,2,596,167,130
Santa Marcela,1408107000,09/15/2016,-22,2,616,80,100
Santa Marcela,1408107000,10/15/2016,146,171,697,423,106
Santa Marcela,1408107000,11/15/2016,50,152,759,285,83
Santa Marcela,1408107000,12/15/2016,30,430,806,532,72
Santa Marcela,1408107000,01/15/2017,-18,203,773,273,88
Santa Marcela,1408107000,02/15/2017,-41,207,782,245,79
Santa Marcela,1408107000,03/15/2017,-94,48,717,77,123
Santa Marcela,1408107000,04/15/2017,-72,7,649,66,131
Santa Marcela,1408107000,05/15/2017,30,4,592,164,130
Santa Marcela,1408107000,06/15/2017,-74,2,600,77,149
Santa Marcela,1408107000,07/15/2017,-50,1,540,86,135
Santa Marcela,1408107000,08/15/2017,86,7,533,222,129
Santa Marcela,1408107000,09/15/2017,-43,2,589,63,104
Santa Marcela,1408107000,10/15/2017,244,84,688,422,94
Santa Marcela,1408107000,11/15/2017,-49,221,768,256,84
Santa Marcela,1408107000,12/15/2017,50,396,804,518,72
Santa Marcela,1408107000,01/15/2018,-50,214,776,255,91
Santa Marcela,1408107000,02/15/2018,-8,218,784,297,87
Santa Marcela,1408107000,03/15/2018,-46,47,728,128,127
Santa Marcela,1408107000,04/15/2018,-43,15,686,112,140
Santa Marcela,1408107000,05/15/2018,-107,3,606,46,150
Santa Marcela,1408107000,06/15/2018,-32,2,531,93,123
Santa Marcela,1408107000,07/15/2018,44,7,535,197,146
Santa Marcela,1408107000,08/15/2018,55,5,576,185,125
Santa Marcela,1408107000,09/15/2018,74,107,671,310,129
Santa Marcela,1408107000,10/15/2018,80,33,673,226,113
Santa Marcela,1408107000,11/15/2018,-81,35,710,49,95
Santa Marcela,1408107000,12/15/2018,189,133,728,407,85
Santa Marcela,1408107000,01/15/2019,-118,213,769,197,102
Santa Marcela,1408107000,02/15/2019,-134,26,687,3,111
Santa Marcela,1408107000,03/15/2019,-56,3,596,68,121
Santa Marcela,1408107000,04/15/2019,34,6,616,178,138
Santa Marcela,1408107000,05/15/2019,62,8,643,225,155
Santa Marcela,1408107000,06/15/2019,53,15,643,220,152
Santa Marcela,1408107000,07/15/2019,41,69,730,278,168
Santa Marcela,1408107000,08/15/2019,56,96,745,298,146
Santa Marcela,1408107000,09/15/2019,-19,324,800,421,116
Santa Marcela,1408107000,10/15/2019,49,331,804,497,117
Santa Marcela,1408107000,11/15/2019,-29,944,839,1002,87
Santa Marcela,1408107000,12/15/2019,3,828,814,913,82
Santa Marcela,1408107000,01/15/2020,-36,232,787,288,92
Santa Marcela,1408107000,02/15/2020,-36,151,777,209,94
Santa Marcela,1408107000,03/15/2020,-98,2,585,4,100
Santa Marcela,1408107000,04/15/2020,-34,1,512,51,84
Santa Marcela,1408107000,05/15/2020,50,2,507,172,120
Santa Marcela,1408107000,06/15/2020,-84,0,509,34,118
Santa Marcela,1408107000,07/15/2020,22,1,451,151,128
Santa Marcela,1408107000,08/15/2020,49,1,523,183,133
Santa Marcela,1408107000,09/15/2020,-15,0,516,81,96
Santa Marcela,1408107000,10/15/2020,256,22,607,368,90
Santa Marcela,1408107000,11/15/2020,-49,390,790,420,79
Santa Marcela,1408107000,12/15/2020,52,179,772,314,83
Santa Marcela,1408107000,01/15/2021,-23,90,746,120,53
Santa Marcela,1408107000,02/15/2021,-54,41,728,64,77
Santa Marcela,1408107000,03/15/2021,-64,10,668,55,109
Santa Marcela,1408107000,04/15/2021,-65,3,601,42,104
Santa Marcela,1408107000,05/15/2021,-100,0,526,23,123
Santa Marcela,1408107000,06/15/2021,7,1,485,131,123
Santa Marcela,1408107000,07/15/2021,26,1,468,152,125
Santa Marcela,1408107000,08/15/2021,66,2,565,207,139
Santa Marcela,1408107000,09/15/2021,54,7,631,179,118
Santa Marcela,1408107000,10/15/2021,80,154,744,336,102
Santa Marcela,1408107000,11/15/2021,72,41,719,196,83
Santa Marcela,1408107000,12/15/2021,-48,66,740,85,67
Santa Marcela,1408107000,01/15/2022,-5,47,723,125,83
Santa Marcela,1408107000,02/15/2022,-41,15,695,53,79
Santa Marcela,1408107000,03/15/2022,-90,5,634,25,110
Santa Marcela,1408107000,04/15/2022,-49,1,581,46,94
Santa Marcela,1408107000,05/15/2022,133,5,597,269,131
Santa Marcela,1408107000,06/15/2022,-55,4,646,94,145
Santa Marcela,1408107000,07/15/2022,-41,2,623,118,157
Santa Marcela,1408107000,08/15/2022,127,20,690,288,141
Santa Marcela,1408107000,09/15/2022,-17,69,728,169,117
Santa Marcela,1408107000,10/15/2022,115,405,780,623,103
Santa Marcela,1408107000,11/15/2022,-65,125,760,158,98
Santa Marcela,1408107000,12/15/2022,26,111,766,207,70
Santa Marcela,1408107000,01/15/2023,-95,79,740,65,81
Santa Marcela,1408107000,02/15/2023,-6,12,679,87,81
Santa Marcela,1408107000,03/15/2023,-105,6,643,10,109
Santa Marcela,1408107000,04/15/2023,-55,1,561,39,93
Santa Marcela,1408107000,05/15/2023,26,2,508,140,112
Santa Marcela,1408107000,06/15/2023,36,5,556,173,132
Santa Marcela,1408107000,07/15/2023,193,117,652,461,151
Santa Marcela,1408107000,08/15/2023,43,263,737,450,144
Santa Marcela,1408107000,09/15/2023,-113,169,768,178,122
Santa Marcela,1408107000,10/15/2023,6,93,749,209,110
Santa Marcela,1408107000,11/15/2023,35,77,740,184,72
Santa Marcela,1408107000,12/15/2023,-15,77,743,140,78
Santa Marcela,1408107000,01/15/2024,-86,25,699,14,75
Santa Marcela,1408107000,03/15/2024,-63,1,531,23,85
Santa Marcela,1408107000,04/15/2024,-71,0,464,14,85
Santa Marcela,1408107000,05/15/2024,52,1,436,158,105
Santa Marcela,1408107000,06/15/2024,-27,1,486,101,127
Santa Marcela,1408107000,07/15/2024,206,26,502,380,148
Santa Marcela,1408107000,08/15/2024,-41,3,639,125,163
Santa Marcela,1408107000,09/15/2024,248,241,753,627,138
Santa Marcela,1408107000,10/15/2024,-45,253,778,341,133
Santa Marcela,1408107000,11/15/2024,-69,406,798,446,109
Santa Marcela,1408107000,12/15/2024,9,103,756,198,86
